iter	MAE	RMSE
0	7070.405523	8920.206196
1	5980.335743	7703.113763
2	5256.588802	6928.039192
3	4774.789763	6431.217737
4	4474.526057	6158.468058
5	4245.294227	5944.654303
6	4081.93658	5791.474854
7	3969.382839	5687.310211
8	3867.650702	5586.379565
9	3802.69951	5529.368896
10	3747.021862	5479.427819
11	3688.305321	5409.094915
12	3646.20473	5367.440565
13	3603.264284	5321.158308
14	3567.667434	5283.682438
15	3537.598748	5249.004622
16	3517.728446	5227.18969
17	3504.028611	5209.588232
18	3475.46709	5177.618049
19	3441.826127	5137.714473
20	3420.697029	5119.50678
21	3398.720259	5096.676655
22	3371.862233	5067.635376
23	3358.169737	5051.687645
24	3346.723738	5041.864028
25	3317.856571	5013.466025
26	3302.450776	4992.093264
27	3287.475308	4977.399114
28	3272.888015	4962.842369
29	3259.65375	4945.241806
30	3249.297976	4935.249356
31	3240.091202	4920.710916
32	3232.325642	4914.639452
33	3227.77721	4909.771262
34	3216.38768	4897.086578
35	3206.793092	4884.242106
36	3199.533995	4875.823819
37	3189.80692	4863.878456
38	3181.750361	4855.127453
39	3173.126319	4846.785872
40	3162.267671	4833.749034
41	3152.701773	4825.68623
42	3145.549103	4818.098873
43	3138.178625	4812.501587
44	3128.313559	4800.311483
45	3125.791836	4795.587402
46	3119.103258	4786.98415
47	3103.423576	4769.559904
48	3095.315382	4758.684801
49	3087.727976	4750.561629
50	3081.395082	4741.496111
51	3076.05568	4733.607998
52	3070.614867	4731.113544
53	3065.053807	4725.403663
54	3061.605322	4721.854248
55	3051.40131	4710.819015
56	3046.988211	4704.680371
57	3037.402877	4695.358212
58	3033.245888	4691.39882
59	3027.224017	4684.345294
60	3021.446128	4677.092334
61	3015.955106	4669.119341
62	3007.301974	4658.97766
63	3000.613299	4653.243108
64	2995.810602	4647.484513
65	2990.475013	4642.872193
66	2985.886424	4636.693455
67	2981.764688	4632.360368
68	2978.72044	4627.384025
69	2971.133152	4617.873596
70	2965.966962	4612.391784
71	2963.275101	4608.353138
72	2960.629883	4604.383702
73	2956.044644	4599.285569
74	2952.360349	4593.3386
75	2950.866651	4591.405118
76	2946.991847	4585.843137
77	2941.640869	4580.124386
78	2939.858981	4577.61441
79	2936.228597	4572.435797
80	2932.548116	4567.468387
81	2929.820541	4564.106458
82	2927.421339	4560.466542
83	2925.62383	4558.490812
84	2921.01459	4553.341114
85	2916.027294	4549.037047
86	2914.576183	4547.059556
87	2912.973068	4545.765553
88	2906.944703	4537.444058
89	2901.824905	4532.591966
90	2898.162792	4529.351056
91	2895.689916	4525.837027
92	2892.821125	4523.531546
93	2890.723228	4520.745247
94	2889.256421	4518.371466
95	2885.014947	4514.691258
96	2883.825393	4512.720266
97	2879.098206	4508.108502
98	2876.984653	4505.640592
99	2873.089092	4501.385231
100	2869.610465	4495.671457
101	2865.533474	4491.350681
102	2863.890756	4489.07495
103	2863.869392	4489.043821
104	2857.830313	4481.092531
105	2856.105823	4479.191591
106	2852.468432	4476.739332
107	2848.100947	4472.800341
108	2846.508493	4470.571225
109	2844.141479	4467.822805
110	2841.697853	4465.80259
111	2839.9057	4464.35282
112	2838.290056	4461.188273
113	2834.682942	4457.60304
114	2832.084081	4454.644056
115	2830.709954	4453.536433
116	2826.154491	4448.735412
117	2823.292172	4445.943982
118	2820.456048	4442.702179
119	2818.363142	4439.358794
120	2816.568745	4437.173549
121	2814.291678	4433.537224
122	2810.918182	4430.347076
123	2810.861774	4430.299658
124	2807.268907	4425.030961
125	2805.576147	4423.19731
126	2803.445504	4421.271858
127	2802.091496	4419.611376
128	2799.604831	4415.575399
129	2796.812846	4411.852801
130	2795.062988	4409.047152
131	2793.288939	4407.235176
132	2791.262773	4404.491194
133	2789.894216	4402.343791
134	2788.244063	4400.109528
135	2786.453884	4397.251095
136	2785.145875	4395.706811
137	2782.82724	4392.427604
138	2781.063723	4390.399502
139	2780.003435	4388.153146
140	2777.324252	4384.517339
141	2775.509694	4382.27634
142	2774.812612	4381.227272
143	2771.820021	4379.138705
144	2769.579505	4376.75933
145	2766.291187	4371.760017
146	2765.005677	4370.117755
147	2763.484931	4367.847111
148	2761.85184	4364.926404
149	2760.565761	4362.831553
150	2760.5322	4362.786291
151	2758.652565	4360.558311
152	2757.847922	4359.102837
153	2755.852381	4356.681505
154	2754.18163	4354.431055
155	2752.993728	4352.511275
156	2752.245694	4351.040057
157	2751.123	4349.442032
158	2749.881232	4347.512319
159	2747.05036	4344.876138
160	2746.154396	4343.876356
161	2744.257461	4342.005917
162	2741.085891	4338.701494
163	2739.692499	4336.691799
164	2739.70008	4336.65981
165	2738.08857	4334.35977
166	2737.628344	4333.200723
167	2736.481807	4330.957721
168	2734.736686	4328.940411
169	2731.875629	4325.60398
170	2729.631337	4322.272168
171	2728.158076	4320.2838
172	2725.467302	4317.626204
173	2724.611444	4315.901647
174	2723.149996	4313.507775
175	2720.120286	4310.431423
176	2718.689594	4308.58492
177	2717.071116	4305.911366
178	2714.113082	4302.70426
179	2710.693461	4297.820764
180	2709.320856	4295.40115
181	2705.042489	4291.755526
182	2705.031833	4291.733602
183	2704.271187	4290.267963
184	2702.990415	4288.693831
185	2702.410727	4288.001148
186	2700.730266	4286.037808
187	2698.965102	4284.094915
188	2697.934701	4282.149061
189	2695.387835	4278.965025
190	2695.375218	4278.928193
191	2693.559484	4276.876477
192	2692.228013	4274.899689
193	2689.777843	4271.275878
194	2688.531805	4269.425738
195	2686.102351	4266.269797
196	2685.011887	4264.415726
197	2683.517537	4261.972055
198	2681.762685	4259.552891
199	2681.057756	4258.32436
200	2680.619574	4257.76426
201	2677.106889	4254.362799
202	2675.093641	4251.483618
203	2673.628138	4249.621216
204	2672.747039	4247.894626
205	2672.245964	4247.09491
206	2671.002978	4244.967359
207	2670.004502	4243.647132
208	2668.351439	4241.195168
209	2667.141471	4240.130092
210	2665.923488	4238.299758
211	2665.431437	4237.219888
212	2663.5286	4235.202088
213	2662.408324	4233.578635
214	2662.33093	4233.54112
215	2661.452934	4232.282423
216	2660.051025	4230.635703
217	2658.080457	4228.02142
218	2656.866284	4225.811229
219	2656.000911	4224.197883
220	2654.757965	4222.753907
221	2653.343916	4220.846391
222	2651.997871	4219.067122
