iter	Passed	Remaining
0	34	34764
1	70	35148
2	104	34681
3	138	34372
4	172	34415
5	206	34159
6	240	34103
7	274	34046
8	308	34000
9	343	33957
10	376	33881
11	410	33809
12	445	33835
13	481	33901
14	513	33690
15	546	33634
16	580	33558
17	614	33525
18	650	33600
19	686	33639
20	719	33551
21	754	33529
22	787	33450
23	821	33406
24	857	33459
25	894	33518
26	929	33488
27	962	33425
28	997	33410
29	1033	33404
30	1065	33319
31	1098	33233
32	1132	33188
33	1166	33134
34	1200	33089
35	1233	33029
36	1267	32977
37	1299	32905
38	1333	32862
39	1368	32838
40	1401	32786
41	1437	32796
42	1472	32774
43	1504	32696
44	1539	32663
45	1572	32605
46	1605	32550
47	1639	32509
48	1673	32471
49	1706	32422
50	1740	32379
51	1772	32322
52	1804	32249
53	1838	32201
54	1872	32177
55	1905	32128
56	1938	32078
57	1972	32043
58	2006	32004
59	2039	31949
60	2074	31927
61	2105	31861
62	2139	31826
63	2174	31801
64	2208	31761
65	2241	31724
66	2274	31678
67	2307	31624
68	2340	31582
69	2375	31558
70	2412	31568
71	2447	31549
72	2486	31581
73	2521	31554
74	2555	31513
75	2588	31469
76	2623	31442
77	2656	31398
78	2689	31359
79	2722	31309
80	2755	31265
81	2789	31233
82	2822	31183
83	2856	31148
84	2890	31119
85	2924	31086
86	2959	31053
87	2994	31030
88	3027	30993
89	3060	30944
90	3095	30921
91	3130	30896
92	3163	30854
93	3198	30823
94	3230	30775
95	3265	30751
96	3298	30706
97	3332	30672
98	3365	30627
99	3397	30581
100	3430	30535
101	3466	30518
102	3501	30490
103	3535	30457
104	3569	30427
105	3603	30391
106	3637	30355
107	3670	30315
108	3702	30264
109	3736	30234
110	3771	30204
111	3805	30169
112	3839	30134
113	3871	30091
114	3906	30060
115	3939	30021
116	3972	29981
117	4008	29963
118	4047	29968
119	4085	29962
120	4122	29946
121	4153	29894
122	4188	29863
123	4219	29811
124	4252	29768
125	4286	29733
126	4322	29711
127	4357	29687
128	4390	29641
129	4423	29604
130	4460	29587
131	4495	29558
132	4529	29526
133	4561	29479
134	4594	29440
135	4627	29399
136	4661	29362
137	4694	29323
138	4728	29289
139	4762	29254
140	4796	29218
141	4829	29178
142	4863	29144
143	4896	29106
144	4931	29077
145	4967	29057
146	5000	29016
147	5034	28981
148	5066	28939
149	5100	28904
150	5133	28865
151	5168	28833
152	5204	28811
153	5237	28770
154	5271	28738
155	5306	28708
156	5340	28674
157	5374	28642
158	5407	28604
159	5444	28582
160	5480	28557
161	5512	28515
162	5545	28477
163	5579	28441
164	5597	28328
165	5632	28296
166	5664	28255
167	5698	28222
168	5732	28189
169	5765	28149
170	5799	28116
171	5834	28086
172	5867	28049
173	5903	28023
174	5938	27993
175	5971	27955
176	6004	27921
177	6038	27886
178	6071	27848
179	6108	27827
180	6142	27796
181	6177	27765
182	6213	27741
183	6248	27712
184	6282	27675
185	6315	27637
186	6349	27605
187	6385	27580
188	6423	27562
189	6460	27540
190	6494	27507
191	6527	27468
192	6561	27434
193	6595	27403
194	6629	27369
195	6662	27330
196	6695	27292
197	6729	27258
198	6763	27224
199	6797	27189
200	6830	27150
201	6863	27112
202	6897	27078
203	6931	27044
204	6964	27010
205	6998	26972
206	7031	26937
207	7065	26903
208	7099	26868
209	7132	26830
210	7165	26794
211	7198	26756
212	7233	26725
213	7268	26697
214	7302	26662
215	7338	26635
216	7374	26610
217	7411	26584
218	7449	26567
219	7485	26539
220	7518	26503
221	7551	26465
222	7586	26432
223	7619	26395
224	7652	26358
225	7687	26329
226	7719	26288
227	7753	26253
228	7786	26215
229	7820	26181
230	7853	26143
231	7886	26107
232	7919	26070
233	7952	26033
234	7987	26003
235	8022	25970
236	8054	25931
237	8087	25894
238	8120	25856
239	8151	25814
240	8185	25777
241	8219	25744
242	8253	25711
243	8286	25673
244	8319	25638
245	8353	25603
246	8389	25576
247	8425	25548
248	8462	25523
249	8499	25499
250	8534	25468
251	8569	25435
252	8603	25402
253	8638	25369
254	8672	25335
255	8705	25299
256	8739	25266
257	8772	25230
258	8806	25195
259	8840	25161
260	8873	25124
261	8907	25089
262	8940	25054
263	8973	25016
264	9006	24979
265	9040	24947
266	9074	24912
267	9107	24876
268	9142	24843
269	9175	24807
270	9209	24773
271	9245	24744
272	9280	24713
273	9314	24678
274	9348	24645
275	9381	24608
276	9414	24573
277	9453	24551
278	9487	24519
279	9523	24489
280	9558	24458
281	9593	24426
282	9627	24393
283	9664	24365
284	9697	24327
285	9731	24294
286	9764	24258
287	9798	24223
288	9832	24188
289	9866	24155
290	9901	24123
291	9934	24086
292	9967	24050
293	10000	24013
294	10035	23982
295	10070	23950
296	10105	23918
297	10138	23883
298	10172	23849
299	10205	23813
300	10240	23782
301	10274	23747
302	10308	23712
303	10324	23637
304	10359	23605
305	10394	23575
306	10432	23549
307	10467	23517
308	10502	23486
309	10536	23453
310	10569	23416
311	10605	23385
312	10639	23353
313	10673	23319
314	10708	23287
315	10742	23252
316	10774	23214
317	10808	23180
318	10840	23143
319	10875	23109
320	10908	23074
321	10941	23037
322	10975	23004
323	11008	22968
324	11044	22937
325	11076	22900
326	11109	22864
327	11144	22832
328	11178	22798
329	11212	22765
330	11248	22735
331	11283	22702
332	11316	22666
333	11349	22631
334	11382	22595
335	11419	22566
336	11453	22533
337	11486	22497
338	11520	22462
339	11555	22430
340	11589	22396
341	11622	22361
342	11655	22326
343	11690	22294
344	11726	22262
345	11760	22230
346	11795	22197
347	11830	22165
348	11863	22129
349	11897	22095
350	11931	22060
351	11964	22025
352	11999	21993
353	12032	21958
354	12066	21923
355	12099	21888
356	12133	21853
357	12167	21819
358	12202	21787
359	12235	21752
360	12268	21716
361	12301	21681
362	12335	21645
363	12370	21614
364	12406	21583
365	12442	21552
366	12476	21519
367	12509	21484
368	12544	21450
369	12578	21417
370	12612	21384
371	12647	21350
372	12681	21316
373	12714	21281
374	12748	21247
375	12780	21210
376	12818	21182
377	12851	21146
378	12886	21115
379	12921	21082
380	12954	21046
381	12987	21011
382	13022	20978
383	13055	20943
384	13090	20911
385	13124	20877
386	13158	20842
387	13191	20807
388	13227	20775
389	13261	20741
390	13295	20708
391	13328	20672
392	13362	20638
393	13397	20605
394	13431	20572
395	13465	20538
396	13484	20481
397	13518	20447
398	13552	20414
399	13586	20379
400	13619	20344
401	13654	20312
402	13688	20277
403	13720	20241
404	13753	20206
405	13788	20173
406	13823	20141
407	13857	20106
408	13892	20074
409	13927	20042
410	13964	20012
411	13999	19980
412	14033	19945
413	14067	19912
414	14105	19883
415	14142	19853
416	14178	19823
417	14212	19788
418	14246	19754
419	14281	19721
420	14315	19688
421	14351	19656
422	14385	19622
423	14423	19594
424	14460	19564
425	14494	19529
426	14527	19495
427	14562	19462
428	14595	19427
429	14630	19394
430	14664	19359
431	14698	19325
432	14732	19292
433	14766	19257
434	14801	19224
435	14835	19190
436	14867	19153
437	14900	19118
438	14935	19085
439	14970	19053
440	15004	19019
441	15041	18988
442	15074	18954
443	15108	18919
444	15143	18886
445	15178	18853
446	15211	18818
447	15244	18783
448	15278	18749
449	15313	18716
450	15347	18682
451	15383	18650
452	15418	18618
453	15452	18583
454	15486	18549
455	15519	18514
456	15554	18481
457	15588	18447
458	15621	18412
459	15655	18378
460	15689	18344
461	15724	18311
462	15757	18276
463	15790	18241
464	15825	18207
465	15849	18162
466	15883	18128
467	15916	18092
468	15951	18060
469	15984	18025
470	16018	17991
471	16055	17960
472	16090	17927
473	16126	17895
474	16161	17863
475	16194	17827
476	16229	17794
477	16261	17758
478	16295	17724
479	16328	17689
480	16363	17655
481	16398	17623
482	16433	17590
483	16468	17557
484	16502	17523
485	16536	17489
486	16569	17454
487	16610	17427
488	16659	17408
489	16683	17364
490	16719	17331
491	16751	17296
492	16764	17240
493	16799	17207
494	16834	17174
495	16869	17141
496	16901	17105
497	16935	17071
498	16968	17036
499	17002	17002
500	17035	16967
501	17068	16932
502	17103	16899
503	17139	16867
504	17175	16835
505	17212	16804
506	17247	16771
507	17284	16740
508	17320	16707
509	17356	16675
510	17393	16645
511	17428	16611
512	17461	16576
513	17497	16544
514	17531	16510
515	17564	16475
516	17599	16442
517	17634	16409
518	17669	16375
519	17703	16342
520	17738	16308
521	17772	16274
522	17806	16240
523	17841	16207
524	17873	16171
525	17906	16136
526	17939	16100
527	17973	16067
528	18005	16031
529	18040	15998
530	18075	15965
531	18109	15930
532	18142	15896
533	18175	15860
534	18209	15827
535	18243	15793
536	18280	15761
537	18316	15729
538	18355	15699
539	18395	15670
540	18432	15638
541	18468	15606
542	18503	15572
543	18539	15540
544	18574	15507
545	18610	15474
546	18646	15441
547	18683	15410
548	18720	15378
549	18755	15345
550	18792	15313
551	18828	15281
552	18862	15247
553	18897	15213
554	18931	15179
555	18964	15144
556	19000	15111
557	19034	15077
558	19068	15043
559	19101	15008
560	19137	14975
561	19170	14940
562	19205	14907
563	19240	14874
564	19276	14841
565	19310	14806
566	19343	14772
567	19378	14738
568	19414	14706
569	19448	14672
570	19481	14636
571	19514	14601
572	19547	14566
573	19580	14531
574	19614	14497
575	19649	14463
576	19682	14429
577	19716	14394
578	19749	14360
579	19786	14328
580	19820	14293
581	19854	14259
582	19887	14225
583	19923	14191
584	19958	14158
585	19993	14125
586	20028	14091
587	20064	14058
588	20100	14025
589	20135	13992
590	20169	13958
591	20201	13922
592	20235	13888
593	20270	13854
594	20304	13820
595	20337	13785
596	20373	13752
597	20406	13717
598	20439	13683
599	20473	13649
600	20507	13615
601	20541	13580
602	20576	13546
603	20609	13511
604	20644	13478
605	20678	13444
606	20712	13410
607	20748	13377
608	20781	13342
609	20814	13307
610	20849	13274
611	20884	13240
612	20919	13206
613	20953	13172
614	20987	13138
615	21019	13102
616	21053	13068
617	21087	13034
618	21123	13001
619	21157	12967
620	21192	12933
621	21228	12901
622	21264	12868
623	21299	12834
624	21334	12800
625	21371	12768
626	21407	12735
627	21442	12701
628	21477	12667
629	21511	12633
630	21545	12599
631	21580	12565
632	21612	12530
633	21646	12496
634	21680	12462
635	21714	12427
636	21748	12393
637	21782	12359
638	21816	12325
639	21851	12291
640	21884	12256
641	21918	12222
642	21951	12187
643	21984	12153
644	22018	12118
645	22052	12084
646	22083	12048
647	22119	12015
648	22152	11980
649	22186	11946
650	22219	11911
651	22253	11877
652	22288	11843
653	22325	11811
654	22364	11779
655	22400	11746
656	22435	11712
657	22469	11678
658	22501	11643
659	22538	11610
660	22574	11577
661	22610	11544
662	22644	11510
663	22680	11476
664	22714	11442
665	22748	11408
666	22781	11373
667	22815	11339
668	22849	11305
669	22883	11270
670	22916	11236
671	22949	11201
672	22984	11167
673	23016	11132
674	23048	11097
675	23082	11062
676	23115	11028
677	23148	10994
678	23182	10959
679	23216	10925
680	23249	10890
681	23284	10856
682	23318	10822
683	23354	10789
684	23390	10756
685	23424	10722
686	23459	10688
687	23493	10654
688	23527	10619
689	23561	10585
690	23597	10552
691	23631	10518
692	23666	10484
693	23699	10449
694	23733	10415
695	23769	10382
696	23805	10348
