iter	MAE	RMSE
0	7057.630434	8913.591098
1	5980.905809	7697.518169
2	5232.722266	6886.827959
3	4769.010359	6441.971737
4	4455.847534	6147.209426
5	4246.358722	5965.51238
6	4088.553533	5833.228624
7	3952.245978	5696.530218
8	3872.601839	5613.356467
9	3810.186437	5550.393566
10	3767.368746	5510.339176
11	3717.057309	5447.703509
12	3667.245554	5389.992008
13	3616.716082	5333.115906
14	3576.26923	5284.736045
15	3534.348551	5248.737503
16	3487.998038	5198.705225
17	3454.892319	5161.621161
18	3423.550691	5131.870968
19	3404.35245	5111.782081
20	3387.147578	5093.000876
21	3369.241855	5075.220825
22	3349.98962	5048.353316
23	3337.784527	5034.457094
24	3326.607219	5021.136368
25	3317.070664	5014.139013
26	3302.465567	4992.677152
27	3291.664241	4980.399676
28	3273.870739	4962.549913
29	3260.956229	4946.136819
30	3248.640799	4930.344078
31	3239.560138	4921.581504
32	3227.966231	4908.613017
33	3223.069768	4903.789981
34	3207.765513	4887.57288
35	3199.878005	4874.970533
36	3186.453239	4860.500208
37	3177.308235	4855.171888
38	3170.307325	4845.465619
39	3163.030113	4836.483714
40	3156.422749	4828.531486
41	3139.765626	4810.869325
42	3134.41657	4804.840616
43	3128.317308	4797.357801
44	3119.020034	4785.635071
45	3110.994538	4776.34031
46	3106.005034	4768.695672
47	3098.158062	4758.635793
48	3086.658886	4745.775835
49	3079.799255	4739.604335
50	3071.368657	4731.570998
51	3067.708378	4725.936015
52	3064.297722	4720.9694
53	3060.040204	4715.044007
54	3052.97341	4706.406241
55	3049.832036	4702.369322
56	3043.865557	4695.045854
57	3038.948126	4688.436716
58	3033.493393	4680.888824
59	3028.884193	4675.049993
60	3019.599833	4668.450285
61	3012.875193	4661.074402
62	3008.353464	4655.856124
63	3007.0338	4654.837795
64	3003.597284	4651.663969
65	2998.550853	4647.778216
66	2995.143648	4645.76399
67	2989.98185	4638.531325
68	2986.528487	4635.017251
69	2979.979706	4628.457994
70	2974.806942	4621.746162
71	2970.745042	4617.520282
72	2967.451999	4611.802337
73	2965.008192	4609.947001
74	2961.202011	4607.508236
75	2961.108496	4607.417361
76	2958.120409	4604.014331
77	2953.093146	4597.080088
78	2946.108521	4589.012014
79	2943.079694	4585.051694
80	2939.069845	4581.446777
81	2936.937341	4578.276768
82	2933.940364	4574.836077
83	2928.983458	4571.635881
84	2922.345319	4564.098651
85	2916.018485	4557.451868
86	2911.073397	4552.802751
87	2904.477806	4543.252046
88	2900.958869	4538.18031
89	2898.863481	4534.920571
90	2893.787296	4529.049992
91	2888.694684	4524.383078
92	2885.751227	4520.65588
93	2880.543551	4514.407825
94	2878.256774	4511.467401
95	2870.13363	4506.747221
96	2867.00189	4503.316178
97	2864.879761	4501.323059
98	2862.331392	4499.685984
99	2858.729415	4495.145069
100	2855.516637	4491.349821
101	2853.024758	4487.7042
102	2850.373175	4485.061162
103	2847.945371	4482.607725
104	2845.627826	4480.461637
105	2840.9297	4474.482737
106	2837.292583	4470.820759
107	2833.314989	4466.350142
108	2830.762006	4463.876422
109	2828.907688	4460.593346
110	2824.972699	4455.61904
111	2819.560306	4449.741052
112	2816.795225	4447.589722
113	2814.320901	4444.117618
114	2812.320049	4441.392678
115	2810.46874	4440.206688
116	2807.682655	4436.467846
117	2802.959964	4430.995646
118	2801.292237	4429.286701
119	2800.462262	4428.15613
120	2798.136624	4425.640585
121	2794.971362	4421.872563
122	2793.653399	4419.379474
123	2791.819504	4417.055772
124	2788.655039	4413.717627
125	2785.687289	4410.868236
126	2783.633511	4408.202333
127	2781.724209	4405.545538
128	2779.674648	4403.224194
129	2775.655244	4399.724459
130	2772.246029	4394.854883
131	2768.199305	4390.147305
132	2766.042832	4386.870377
133	2766.023234	4386.835486
134	2764.666081	4385.363906
135	2763.204458	4382.824997
136	2761.007899	4379.468348
137	2760.994273	4379.438756
138	2759.913018	4377.826819
139	2758.090361	4375.182112
140	2753.696183	4371.406817
141	2752.464019	4370.279095
142	2751.369108	4367.899817
143	2749.188335	4365.827086
144	2748.354257	4363.926161
145	2747.372027	4362.360938
146	2744.516014	4359.255267
147	2740.986391	4355.084246
148	2738.866952	4352.081772
149	2736.2738	4348.454074
150	2734.793089	4346.62143
151	2732.177483	4342.805742
152	2730.155282	4341.296794
153	2727.483529	4337.681006
154	2724.866656	4334.763255
155	2723.506116	4333.446051
156	2721.118069	4330.957526
157	2719.536972	4329.02396
158	2719.537463	4328.990477
159	2718.303761	4327.430379
160	2716.11498	4324.30896
161	2714.799533	4322.558428
162	2713.733827	4321.11749
163	2711.911893	4318.880601
164	2710.546396	4316.78802
165	2709.419679	4315.191516
166	2706.079645	4311.850785
167	2704.848482	4310.402865
168	2703.926964	4309.271264
169	2701.132832	4306.549141
170	2699.209847	4304.385146
171	2698.121756	4302.791318
172	2697.065177	4300.868511
