iter	Passed	Remaining
0	1	1543
1	3	1568
2	4	1505
3	6	1583
4	7	1524
5	9	1510
6	10	1491
7	12	1494
8	13	1453
9	14	1434
10	15	1430
11	17	1434
12	18	1415
13	19	1391
14	21	1393
15	22	1393
16	23	1386
17	25	1370
18	26	1366
19	27	1360
20	29	1365
21	30	1353
22	31	1343
23	33	1345
24	34	1356
25	36	1350
26	37	1341
27	38	1342
28	40	1341
29	41	1335
30	42	1327
31	43	1326
32	45	1322
33	46	1327
34	48	1323
35	49	1316
36	50	1315
37	52	1320
38	53	1316
39	54	1310
40	56	1312
41	57	1315
42	59	1316
43	60	1308
44	61	1308
45	62	1305
46	64	1303
47	65	1299
48	66	1296
49	68	1296
50	70	1305
51	71	1302
52	73	1306
53	74	1303
54	75	1305
55	77	1300
56	78	1296
57	79	1294
58	81	1295
59	82	1291
60	83	1284
61	85	1287
62	86	1287
63	88	1290
64	89	1290
65	91	1292
66	92	1293
67	94	1291
68	95	1286
69	96	1286
70	98	1287
71	99	1287
72	101	1282
73	102	1288
74	104	1292
75	106	1290
76	107	1288
77	108	1287
78	110	1289
79	111	1285
80	112	1280
81	114	1282
82	116	1284
83	117	1280
84	118	1275
85	120	1278
86	121	1277
87	122	1273
88	124	1269
89	125	1269
90	126	1265
91	128	1265
92	129	1260
93	130	1256
94	131	1255
95	133	1255
96	134	1251
97	135	1247
98	136	1246
99	138	1244
100	139	1242
101	140	1239
102	141	1235
103	143	1234
104	144	1234
105	145	1231
106	147	1227
107	148	1228
108	150	1226
109	151	1225
110	152	1223
111	154	1223
112	155	1222
113	157	1221
114	158	1217
115	159	1216
116	160	1214
117	162	1215
118	163	1212
119	164	1209
120	166	1211
121	168	1211
122	169	1207
123	170	1204
124	171	1203
125	173	1202
126	174	1200
127	175	1197
128	177	1195
129	178	1193
130	179	1192
131	180	1189
132	181	1185
133	183	1185
134	184	1184
135	186	1183
136	187	1180
137	188	1178
138	190	1178
139	191	1177
140	192	1175
141	193	1172
142	195	1171
143	197	1171
144	198	1170
145	199	1167
146	201	1168
147	202	1166
148	204	1165
149	205	1162
150	206	1159
151	207	1158
152	209	1157
153	210	1154
154	211	1151
155	212	1151
156	214	1151
157	215	1148
158	216	1145
159	218	1146
160	219	1145
161	221	1144
162	222	1141
163	223	1139
164	224	1137
165	226	1136
166	227	1134
167	228	1131
168	229	1130
169	230	1127
170	232	1126
171	233	1123
172	234	1121
173	236	1120
174	237	1119
175	238	1118
176	239	1115
177	241	1113
178	242	1111
179	243	1111
180	244	1108
181	246	1105
182	247	1105
183	249	1105
184	250	1103
185	251	1100
186	252	1099
187	254	1097
188	255	1096
189	256	1093
190	257	1092
191	259	1091
192	260	1090
193	261	1087
194	263	1086
195	264	1085
196	265	1083
197	267	1081
198	268	1079
199	269	1076
200	270	1075
201	271	1074
202	273	1072
203	274	1069
204	275	1067
205	276	1066
206	278	1065
207	279	1063
208	280	1061
209	281	1060
210	283	1058
211	284	1058
212	285	1056
213	286	1053
214	288	1052
215	289	1051
216	290	1049
217	291	1047
218	293	1047
219	295	1046
220	296	1044
221	297	1042
222	298	1041
223	300	1039
224	301	1039
225	303	1038
226	304	1035
227	305	1034
228	307	1034
229	308	1033
230	310	1032
231	311	1031
232	313	1031
233	314	1029
234	315	1027
235	317	1026
236	318	1025
237	319	1023
238	320	1021
239	322	1020
240	323	1018
241	324	1017
242	325	1015
243	327	1013
244	328	1012
245	329	1011
246	331	1009
247	332	1007
248	333	1005
249	334	1004
250	336	1003
251	337	1001
252	338	1000
253	340	999
254	341	997
255	342	996
256	343	994
257	345	992
258	346	991
259	347	990
260	349	988
261	350	986
262	351	985
263	352	983
264	354	982
265	355	979
266	356	977
267	357	976
268	358	975
269	360	973
270	361	972
271	362	971
272	364	969
273	365	968
274	366	967
275	368	965
276	369	964
277	371	963
278	372	962
279	373	960
280	375	959
281	376	958
282	377	957
283	378	955
284	380	953
285	381	951
286	382	951
287	384	949
288	385	948
289	387	948
290	389	948
291	391	948
292	393	948
293	394	947
294	396	947
295	399	950
296	402	951
297	403	951
